cluster,lat,lon,commercial,hospital,library,residential,school,university
240,55.95585572648148,-3.28332321337037,0,0,1,132,3,0
241,55.93361234428572,-3.1079760559999996,1,0,0,11,1,0
242,55.90671518907693,-3.219653567584615,2,0,1,254,1,0
243,55.91871503813433,-3.1554866830149253,2,0,0,375,2,0
244,55.94322972060345,-3.1068160322155176,0,0,0,232,2,0
245,55.9349766958371,-3.17228318520362,1,0,0,878,0,0
246,55.96609928066667,-3.1804889048814817,12,0,1,147,4,0
247,55.94697751901961,-3.2862846628137254,7,0,0,723,1,0
248,55.9446664267713,-3.1250488458295966,1,0,0,725,1,0
249,55.90453776197674,-3.2109386479825583,1,0,0,515,0,0
